"gene_name","taxa_included","identical_sequences"
"Danio_rerio.12.18975898.18976132.fas","54","98"
"Danio_rerio.12.18976269.18976599.fas","86","40"
"Danio_rerio.12.18978231.18978425.fas","94","323"
"Danio_rerio.12.18978521.18978712.fas","74","299"
"Danio_rerio.12.18982229.18982429.fas","94","291"
"Danio_rerio.12.18998852.18999112.fas","91","517"
"Danio_rerio.12.19018781.19018979.fas","83","416"
"Danio_rerio.12.19057787.19057966.fas","61","146"
"Danio_rerio.12.19059855.19060001.fas","57","391"
"Danio_rerio.12.19067832.19067969.fas","70","1328"
"Danio_rerio.12.19070813.19070948.fas","70","799"
"Danio_rerio.12.19119104.19119335.fas","86","342"
"Danio_rerio.12.19126535.19126738.fas","73","1057"
"Danio_rerio.12.19129542.19129736.fas","51","143"
"Danio_rerio.12.19551107.19551818.fas","50","23"
"Danio_rerio.12.19576327.19576490.fas","91","565"
"Danio_rerio.12.23916832.23916964.fas","93","941"
"Danio_rerio.12.23917835.23918116.fas","76","153"
"Danio_rerio.12.23920360.23920569.fas","73","276"
"Danio_rerio.12.23921131.23921334.fas","93","585"
"Danio_rerio.12.23921855.23922038.fas","94","222"
"Danio_rerio.12.23922259.23922430.fas","56","152"
"Danio_rerio.12.23924925.23925111.fas","71","247"
"Danio_rerio.12.23983879.23984119.fas","87","713"
"Danio_rerio.12.25087890.25088114.fas","94","765"
"Danio_rerio.12.26434797.26434590.fas","97","266"
"Danio_rerio.12.28657090.28657269.fas","81","960"
"Danio_rerio.12.30792407.30792549.fas","87","1403"
"Danio_rerio.12.30807362.30807550.fas","95","1008"
"Danio_rerio.12.31958040.31958252.fas","95","135"
"Danio_rerio.12.31968923.31969112.fas","91","269"
"Danio_rerio.12.33347692.33347836.fas","96","310"
"Danio_rerio.12.33389312.33389510.fas","93","29"
"Danio_rerio.12.35136117.35135966.fas","85","783"
"Danio_rerio.12.35305933.35305693.fas","96","132"
"Danio_rerio.12.35309185.35308370.fas","88","9"
"Danio_rerio.12.35313681.35313889.fas","96","429"
"Danio_rerio.12.36269913.36270193.fas","94","27"
"Danio_rerio.12.40250032.40250256.fas","76","34"
"Danio_rerio.12.47683812.47684013.fas","95","518"
"Danio_rerio.12.48861511.48861335.fas","78","127"
"Danio_rerio.12.48863533.48863399.fas","72","1096"
"Danio_rerio.12.49104978.49105142.fas","66","218"
"Danio_rerio.12.8830768.8830587.fas","85","114"
"Danio_rerio.12.8841016.8840838.fas","74","119"
"Danio_rerio.12.8854582.8854453.fas","96","228"
"Danio_rerio.12.9962557.9962700.fas","73","365"
"Danio_rerio.12.9967973.9968136.fas","78","108"
"Danio_rerio.13.1010175.1010309.fas","91","935"
"Danio_rerio.13.10222399.10222198.fas","83","237"
"Danio_rerio.13.10648261.10648399.fas","81","594"
"Danio_rerio.13.12413171.12413025.fas","96","1129"
"Danio_rerio.13.12685153.12685346.fas","64","991"
"Danio_rerio.13.12756572.12756724.fas","82","410"
"Danio_rerio.13.12773697.12774412.fas","74","44"
"Danio_rerio.13.1277793.1277399.fas","93","59"
"Danio_rerio.13.12960192.12960326.fas","95","266"
"Danio_rerio.13.12965596.12965734.fas","63","803"
"Danio_rerio.13.13858006.13858693.fas","93","295"
"Danio_rerio.13.13858786.13858959.fas","92","307"
"Danio_rerio.13.1466889.1467387.fas","85","86"
"Danio_rerio.13.1470585.1472053.fas","50","0"
"Danio_rerio.13.18241507.18241374.fas","91","1350"
"Danio_rerio.13.18463225.18463413.fas","75","153"
"Danio_rerio.13.19330618.19330808.fas","95","117"
"Danio_rerio.13.19340676.19340812.fas","92","272"
"Danio_rerio.13.2170123.2170243.fas","96","612"
"Danio_rerio.13.2258206.2258385.fas","64","53"
"Danio_rerio.13.23235199.23234753.fas","68","50"
"Danio_rerio.13.23765811.23765626.fas","95","98"
"Danio_rerio.13.23935790.23936211.fas","76","380"
"Danio_rerio.13.24125183.24125443.fas","96","83"
"Danio_rerio.13.2415092.2414893.fas","76","234"
"Danio_rerio.13.2479817.2479652.fas","86","287"
"Danio_rerio.13.2497657.2497510.fas","78","707"
"Danio_rerio.13.25681417.25681544.fas","65","643"
"Danio_rerio.13.25740509.25740694.fas","90","58"
"Danio_rerio.13.25779016.25779136.fas","65","116"
"Danio_rerio.13.25809403.25809246.fas","95","176"
"Danio_rerio.13.25810415.25810236.fas","95","1731"
"Danio_rerio.13.25814810.25814596.fas","59","150"
"Danio_rerio.13.25816686.25816430.fas","83","1442"
"Danio_rerio.13.30258154.30256712.fas","80","2"
"Danio_rerio.13.31106791.31106922.fas","95","345"
"Danio_rerio.13.31123940.31124158.fas","55","43"
"Danio_rerio.13.33414271.33414131.fas","94","263"
"Danio_rerio.13.36198441.36198319.fas","88","562"
"Danio_rerio.13.36219960.36219803.fas","89","942"
"Danio_rerio.13.37189920.37189707.fas","69","426"
"Danio_rerio.13.37194273.37194003.fas","78","166"
"Danio_rerio.13.37387440.37387748.fas","60","72"
"Danio_rerio.13.39086023.39085898.fas","93","1621"
"Danio_rerio.13.41312188.41312330.fas","97","174"
"Danio_rerio.13.4236446.4236586.fas","95","440"
"Danio_rerio.13.4252763.4252905.fas","77","1110"
"Danio_rerio.13.4255675.4255861.fas","78","187"
"Danio_rerio.13.42574926.42575058.fas","88","863"
"Danio_rerio.13.42581046.42581217.fas","86","2083"
"Danio_rerio.13.4263019.4263174.fas","62","1229"
"Danio_rerio.13.43146108.43145960.fas","81","1657"
"Danio_rerio.13.43870367.43870489.fas","90","1056"
"Danio_rerio.13.43888382.43888193.fas","77","739"
"Danio_rerio.13.43889604.43889431.fas","56","49"
"Danio_rerio.13.43891061.43890928.fas","72","318"
"Danio_rerio.13.43893106.43892936.fas","94","326"
"Danio_rerio.13.43895443.43895272.fas","61","282"
"Danio_rerio.13.43900428.43900215.fas","95","306"
"Danio_rerio.13.47557884.47558110.fas","61","546"
"Danio_rerio.13.49087411.49087264.fas","60","32"
"Danio_rerio.13.5659043.5659173.fas","97","2319"
"Danio_rerio.13.8049212.8049081.fas","78","127"
"Danio_rerio.13.8242408.8242259.fas","70","138"
"Danio_rerio.13.9224282.9224136.fas","96","1893"
"Danio_rerio.13.9226647.9226508.fas","67","644"
"Danio_rerio.13.9235747.9235625.fas","95","480"
"Danio_rerio.14.1235165.1235022.fas","77","788"
"Danio_rerio.14.12420546.12420755.fas","97","880"
"Danio_rerio.14.12461255.12461412.fas","81","1046"
"Danio_rerio.14.12710238.12710417.fas","97","1563"
"Danio_rerio.14.12719933.12720064.fas","86","869"
"Danio_rerio.14.12721300.12721484.fas","97","320"
"Danio_rerio.14.23113002.23112807.fas","93","308"
"Danio_rerio.14.24569066.24569215.fas","70","676"
"Danio_rerio.14.27470066.27469940.fas","96","1807"
"Danio_rerio.14.27473539.27473387.fas","95","600"
"Danio_rerio.14.33820042.33819607.fas","63","229"
"Danio_rerio.14.3917504.3917186.fas","94","178"
"Danio_rerio.14.40053968.40054243.fas","95","24"
"Danio_rerio.14.40057081.40057251.fas","97","385"
"Danio_rerio.14.4155878.4155603.fas","96","584"
"Danio_rerio.14.42179289.42179422.fas","63","389"
"Danio_rerio.14.47546722.47546937.fas","58","41"
"Danio_rerio.14.47705546.47705684.fas","96","210"
"Danio_rerio.14.47717881.47718063.fas","87","212"
"Danio_rerio.14.49325852.49325677.fas","82","919"
"Danio_rerio.14.51664687.51664818.fas","81","305"
"Danio_rerio.14.53372394.53372227.fas","94","748"
"Danio_rerio.14.53583886.53584025.fas","89","443"
"Danio_rerio.14.7351569.7351694.fas","71","202"
"Danio_rerio.15.123781.124018.fas","74","85"
"Danio_rerio.15.13880582.13880709.fas","93","600"
"Danio_rerio.15.14504669.14504877.fas","97","187"
"Danio_rerio.15.1490246.1490123.fas","95","251"
"Danio_rerio.15.15149106.15148971.fas","97","344"
"Danio_rerio.15.15155326.15155205.fas","78","169"
"Danio_rerio.15.1538012.1538188.fas","94","875"
"Danio_rerio.15.1546296.1546436.fas","97","684"
"Danio_rerio.15.1565400.1565632.fas","78","16"
"Danio_rerio.15.16110338.16110473.fas","60","134"
"Danio_rerio.15.1881136.1881263.fas","96","1731"
"Danio_rerio.15.1882560.1882689.fas","82","627"
"Danio_rerio.15.1884737.1884901.fas","96","1230"
"Danio_rerio.15.1886823.1886972.fas","97","845"
"Danio_rerio.15.19335915.19336166.fas","78","153"
"Danio_rerio.15.19341425.19341571.fas","65","375"
"Danio_rerio.15.19341667.19341792.fas","75","1553"
"Danio_rerio.15.22791229.22790993.fas","86","510"
"Danio_rerio.15.23136899.23136641.fas","60","62"
"Danio_rerio.15.24462727.24462579.fas","53","79"
"Danio_rerio.15.25309293.25309139.fas","96","810"
"Danio_rerio.15.25891396.25891070.fas","95","36"
"Danio_rerio.15.27600492.27600299.fas","94","536"
"Danio_rerio.15.27601244.27601116.fas","95","752"
"Danio_rerio.15.27601571.27601330.fas","85","500"
"Danio_rerio.15.27601857.27601666.fas","97","1578"
"Danio_rerio.15.27602150.27601990.fas","91","1150"
"Danio_rerio.15.27602714.27602585.fas","96","873"
"Danio_rerio.15.27602959.27602790.fas","92","1043"
"Danio_rerio.15.27603456.27603277.fas","80","447"
"Danio_rerio.15.27606169.27605977.fas","96","468"
"Danio_rerio.15.27606671.27606508.fas","93","583"
"Danio_rerio.15.27606963.27606757.fas","72","261"
"Danio_rerio.15.27608295.27608176.fas","95","124"
"Danio_rerio.15.31913616.31913942.fas","90","309"
"Danio_rerio.15.41815123.41815623.fas","94","1969"
"Danio_rerio.15.43084570.43084430.fas","97","949"
"Danio_rerio.15.44034117.44033966.fas","66","166"
"Danio_rerio.15.44047704.44047440.fas","93","1308"
"Danio_rerio.15.44073384.44073001.fas","69","350"
"Danio_rerio.15.44144313.44144545.fas","95","154"
"Danio_rerio.15.44172282.44172424.fas","55","287"
"Danio_rerio.15.44382585.44382443.fas","91","1678"
"Danio_rerio.15.45488172.45488582.fas","75","22"
"Danio_rerio.15.46583426.46583554.fas","97","1349"
"Danio_rerio.15.6433676.6433459.fas","66","497"
"Danio_rerio.15.7068572.7068702.fas","95","1485"
"Danio_rerio.16.12029201.12029407.fas","93","548"
"Danio_rerio.16.14284107.14284333.fas","97","346"
"Danio_rerio.16.14287185.14287389.fas","72","603"
"Danio_rerio.16.16034840.16034990.fas","96","1049"
"Danio_rerio.16.18323582.18323705.fas","91","827"
"Danio_rerio.16.18326727.18326871.fas","92","1356"
"Danio_rerio.16.18352845.18353006.fas","96","244"
"Danio_rerio.16.19755043.19754891.fas","50","122"
"Danio_rerio.16.23943098.23942929.fas","63","379"
"Danio_rerio.16.26131842.26132035.fas","93","64"
"Danio_rerio.16.28949126.28949670.fas","74","2"
"Danio_rerio.16.29387188.29387057.fas","49","81"
"Danio_rerio.16.29428678.29428816.fas","96","1369"
"Danio_rerio.16.29428890.29429136.fas","88","215"
"Danio_rerio.16.29451330.29451005.fas","74","358"
"Danio_rerio.16.29717177.29717386.fas","71","203"
"Danio_rerio.16.31247153.31247455.fas","80","52"
"Danio_rerio.16.32721558.32721409.fas","60","1038"
"Danio_rerio.16.34146314.34146491.fas","68","165"
"Danio_rerio.16.34997837.34997183.fas","77","625"
"Danio_rerio.16.35394202.35393937.fas","94","315"
"Danio_rerio.16.38141401.38141200.fas","72","303"
"Danio_rerio.16.40235718.40235575.fas","87","174"
"Danio_rerio.16.42715246.42715402.fas","91","141"
"Danio_rerio.16.43787220.43787089.fas","93","1961"
"Danio_rerio.16.46124581.46124704.fas","96","226"
"Danio_rerio.16.46138119.46137966.fas","96","90"
"Danio_rerio.16.46147433.46147309.fas","70","112"
"Danio_rerio.16.48762566.48762689.fas","64","443"
"Danio_rerio.16.48762784.48762940.fas","60","387"
"Danio_rerio.16.55608807.55608626.fas","96","69"
"Danio_rerio.16.56182262.56181994.fas","97","563"
"Danio_rerio.16.56184365.56184108.fas","65","410"
"Danio_rerio.16.56194402.56194276.fas","94","1984"
"Danio_rerio.16.56469514.56469382.fas","95","981"
"Danio_rerio.16.567906.567280.fas","97","2104"
"Danio_rerio.16.56938109.56938273.fas","79","171"
"Danio_rerio.16.57067809.57067949.fas","69","94"
"Danio_rerio.16.58478296.58478128.fas","88","1375"
"Danio_rerio.16.7946469.7949094.fas","80","7"
"Danio_rerio.16.8603325.8603452.fas","97","2066"
"Danio_rerio.17.10554466.10554631.fas","95","403"
"Danio_rerio.17.12104845.12104592.fas","63","247"
"Danio_rerio.17.12663963.12664171.fas","65","168"
"Danio_rerio.17.14319367.14319149.fas","58","192"
"Danio_rerio.17.14324376.14324222.fas","89","713"
"Danio_rerio.17.177244.177091.fas","92","769"
"Danio_rerio.17.177823.177615.fas","96","249"
"Danio_rerio.17.183623.183489.fas","92","137"
"Danio_rerio.17.186268.186141.fas","87","266"
"Danio_rerio.17.19259708.19259440.fas","95","325"
"Danio_rerio.17.19274192.19274010.fas","77","355"
"Danio_rerio.17.19279316.19279177.fas","96","202"
"Danio_rerio.17.21960555.21960430.fas","68","118"
"Danio_rerio.17.22437425.22437562.fas","71","357"
"Danio_rerio.17.22445169.22445362.fas","97","193"
"Danio_rerio.17.22447983.22448152.fas","57","94"
"Danio_rerio.17.22451343.22451503.fas","81","368"
"Danio_rerio.17.227059.226883.fas","96","953"
"Danio_rerio.17.227463.227323.fas","95","349"
"Danio_rerio.17.230285.230136.fas","92","1070"
"Danio_rerio.17.232056.230980.fas","72","0"
"Danio_rerio.17.23724511.23723622.fas","52","4"
"Danio_rerio.17.24438360.24438503.fas","86","845"
"Danio_rerio.17.24439918.24440142.fas","96","463"
"Danio_rerio.17.25269830.25269952.fas","97","1028"
"Danio_rerio.17.28154805.28154663.fas","57","320"
"Danio_rerio.17.28734331.28734470.fas","80","1489"
"Danio_rerio.17.28738736.28738963.fas","94","1326"
"Danio_rerio.17.28741125.28741299.fas","94","442"
"Danio_rerio.17.28745031.28745354.fas","81","1097"
"Danio_rerio.17.28745456.28745622.fas","49","382"
"Danio_rerio.17.28747512.28748348.fas","56","7"
"Danio_rerio.17.28751528.28751750.fas","92","1109"
"Danio_rerio.17.33506146.33506268.fas","51","296"
"Danio_rerio.17.35525279.35525115.fas","94","679"
"Danio_rerio.17.35526097.35525948.fas","61","68"
"Danio_rerio.17.41418843.41418997.fas","73","780"
"Danio_rerio.17.43127509.43127383.fas","93","2638"
"Danio_rerio.17.43628905.43628703.fas","94","183"
"Danio_rerio.17.48357873.48358046.fas","87","736"
"Danio_rerio.17.49804423.49805756.fas","91","129"
"Danio_rerio.17.50011322.50011469.fas","94","215"
"Danio_rerio.17.50021976.50022196.fas","65","100"
"Danio_rerio.17.50045427.50045552.fas","97","1255"
"Danio_rerio.17.50048600.50048729.fas","91","460"
"Danio_rerio.17.50620146.50620287.fas","82","232"
"Danio_rerio.17.51577517.51577330.fas","97","120"
"Danio_rerio.17.51611735.51611568.fas","97","86"
"Danio_rerio.17.51618618.51618498.fas","96","771"
"Danio_rerio.17.53843239.53843065.fas","89","795"
"Danio_rerio.17.53886579.53886459.fas","97","2356"
"Danio_rerio.17.7445971.7446131.fas","97","47"
"Danio_rerio.17.7446431.7446566.fas","95","267"
"Danio_rerio.17.8434532.8434348.fas","97","157"
"Danio_rerio.17.8603086.8603211.fas","91","470"
"Danio_rerio.17.8649783.8649966.fas","53","268"
"Danio_rerio.17.8654820.8654991.fas","97","199"
"Danio_rerio.18.11691828.11691515.fas","74","51"
"Danio_rerio.18.11703004.11702767.fas","86","255"
"Danio_rerio.18.11703589.11703380.fas","93","342"
"Danio_rerio.18.14930957.14930819.fas","96","1079"
"Danio_rerio.18.14989949.14989749.fas","59","218"
"Danio_rerio.18.15545791.15545994.fas","94","761"
"Danio_rerio.18.17421767.17421966.fas","90","1993"
"Danio_rerio.18.18784958.18784737.fas","96","319"
"Danio_rerio.18.20275163.20275387.fas","96","299"
"Danio_rerio.18.20276222.20276560.fas","76","28"
"Danio_rerio.18.20898144.20898343.fas","91","187"
"Danio_rerio.18.21643612.21643429.fas","52","110"
"Danio_rerio.18.2208676.2208435.fas","55","548"
"Danio_rerio.18.2209180.2208871.fas","88","1667"
"Danio_rerio.18.24758121.24757985.fas","75","274"
"Danio_rerio.18.26231782.26231977.fas","96","344"
"Danio_rerio.18.26262685.26262825.fas","96","234"
"Danio_rerio.18.32463703.32463930.fas","92","41"
"Danio_rerio.18.33525911.33526089.fas","76","185"
"Danio_rerio.18.36678226.36678104.fas","91","447"
"Danio_rerio.18.36679109.36678938.fas","96","954"
"Danio_rerio.18.39173432.39173258.fas","94","1193"
"Danio_rerio.18.39593040.39593165.fas","49","61"
"Danio_rerio.18.42997211.42997384.fas","90","215"
"Danio_rerio.18.43246996.43246833.fas","93","58"
"Danio_rerio.18.44061827.44061959.fas","96","202"
"Danio_rerio.18.44063579.44063717.fas","82","599"
"Danio_rerio.18.49805076.49805258.fas","93","1788"
"Danio_rerio.18.5322389.5322601.fas","87","187"
"Danio_rerio.18.5785808.5785954.fas","83","305"
"Danio_rerio.18.6255073.6255313.fas","87","126"
"Danio_rerio.18.7973745.7973508.fas","95","264"
"Danio_rerio.19.12416092.12415951.fas","55","640"
"Danio_rerio.19.12538679.12538527.fas","95","1615"
"Danio_rerio.19.12564665.12564526.fas","97","166"
"Danio_rerio.19.16734526.16734388.fas","49","76"
"Danio_rerio.19.19853256.19853135.fas","96","1565"
"Danio_rerio.19.27343880.27343704.fas","54","205"
"Danio_rerio.19.28452445.28451738.fas","89","63"
"Danio_rerio.19.32132282.32132457.fas","81","149"
"Danio_rerio.19.32777735.32778436.fas","85","0"
"Danio_rerio.19.32792666.32792821.fas","94","316"
"Danio_rerio.19.32826095.32825970.fas","96","1550"
"Danio_rerio.19.32827618.32827484.fas","96","1336"
"Danio_rerio.19.32828385.32828257.fas","89","1668"
"Danio_rerio.19.3355981.3356103.fas","80","796"
"Danio_rerio.19.3370932.3370387.fas","59","85"
"Danio_rerio.19.3530431.3530277.fas","97","564"
"Danio_rerio.19.38687277.38687552.fas","49","17"
"Danio_rerio.19.41437561.41437701.fas","91","2221"
"Danio_rerio.19.41512428.41512604.fas","56","201"
"Danio_rerio.19.437010.436858.fas","88","1244"
"Danio_rerio.19.43936068.43935934.fas","69","466"
"Danio_rerio.19.44522766.44522375.fas","97","1566"
"Danio_rerio.19.44615569.44615691.fas","54","205"
"Danio_rerio.19.446358.445899.fas","75","16"
"Danio_rerio.19.45477272.45477394.fas","56","219"
"Danio_rerio.19.47473373.47472829.fas","95","282"
"Danio_rerio.19.47963705.47963518.fas","95","1311"
"Danio_rerio.19.4938142.4938725.fas","65","9"
"Danio_rerio.19.4941846.4941991.fas","60","667"
"Danio_rerio.19.49766727.49766565.fas","73","1089"
"Danio_rerio.19.49801891.49801744.fas","68","259"
"Danio_rerio.19.7909974.7909826.fas","72","426"
"Danio_rerio.19.7910213.7910049.fas","94","309"
"Danio_rerio.19.8049106.8049648.fas","87","8"
"Danio_rerio.19.8134889.8135035.fas","79","975"
"Danio_rerio.2.10692384.10692036.fas","95","179"
"Danio_rerio.2.1310487.1310667.fas","49","136"
"Danio_rerio.2.13596954.13597101.fas","86","468"
"Danio_rerio.2.13632602.13633206.fas","97","79"
"Danio_rerio.2.16221300.16221158.fas","93","1756"
"Danio_rerio.2.16249862.16249668.fas","91","608"
"Danio_rerio.2.16438390.16438509.fas","78","1034"
"Danio_rerio.2.16642251.16642105.fas","96","1820"
"Danio_rerio.2.1990667.1990815.fas","97","779"
"Danio_rerio.2.2479674.2479521.fas","97","352"
"Danio_rerio.2.24882662.24882539.fas","91","413"
"Danio_rerio.2.27711009.27710848.fas","57","66"
"Danio_rerio.2.27975885.27975672.fas","97","102"
"Danio_rerio.2.29896263.29896097.fas","97","695"
"Danio_rerio.2.32911649.32911782.fas","86","435"
"Danio_rerio.2.35328234.35328360.fas","85","552"
"Danio_rerio.2.35330492.35330621.fas","97","123"
"Danio_rerio.2.35693973.35694110.fas","72","594"
"Danio_rerio.2.35781500.35781650.fas","97","595"
"Danio_rerio.2.35781754.35781889.fas","94","482"
"Danio_rerio.2.36373184.36373421.fas","86","74"
"Danio_rerio.2.36914158.36914304.fas","96","596"
"Danio_rerio.2.36957008.36957687.fas","72","3"
"Danio_rerio.2.3899585.3899750.fas","95","242"
"Danio_rerio.2.3906526.3906672.fas","80","215"
"Danio_rerio.2.44686510.44686671.fas","96","467"
"Danio_rerio.2.45037351.45037511.fas","97","56"
"Danio_rerio.2.45039169.45039289.fas","68","509"
"Danio_rerio.2.5069202.5069076.fas","82","1218"
"Danio_rerio.2.5077756.5077605.fas","96","904"
"Danio_rerio.2.54335776.54335924.fas","83","1126"
"Danio_rerio.2.9778747.9778611.fas","96","1176"
"Danio_rerio.20.13786776.13786927.fas","65","312"
"Danio_rerio.20.19519698.19519495.fas","94","234"
"Danio_rerio.20.207605.207447.fas","90","211"
"Danio_rerio.20.2547913.2547677.fas","66","345"
"Danio_rerio.20.2568697.2568492.fas","94","335"
"Danio_rerio.20.2580740.2580595.fas","95","438"
"Danio_rerio.20.2585313.2585113.fas","85","721"
"Danio_rerio.20.26075445.26075265.fas","69","262"
"Danio_rerio.20.26417968.26417189.fas","81","0"
"Danio_rerio.20.30949346.30949176.fas","80","106"
"Danio_rerio.20.30958787.30958633.fas","76","326"
"Danio_rerio.20.30961284.30961102.fas","96","2239"
"Danio_rerio.20.30962676.30962549.fas","56","548"
"Danio_rerio.20.31315339.31315812.fas","85","47"
"Danio_rerio.20.32523380.32523545.fas","97","487"
"Danio_rerio.20.38554588.38554712.fas","95","727"
"Danio_rerio.20.38815078.38814923.fas","97","2291"
"Danio_rerio.20.38826516.38826315.fas","92","181"
"Danio_rerio.20.38844228.38844097.fas","95","1390"
"Danio_rerio.20.39322381.39323424.fas","89","728"
"Danio_rerio.20.39386770.39386588.fas","95","55"
"Danio_rerio.20.39539884.39539412.fas","84","392"
"Danio_rerio.20.4037479.4035425.fas","56","0"
"Danio_rerio.20.42583045.42588690.fas","65","0"
"Danio_rerio.20.43709469.43709601.fas","97","206"
"Danio_rerio.20.43816265.43816145.fas","89","432"
"Danio_rerio.20.49394052.49394235.fas","92","729"
"Danio_rerio.20.49396344.49396535.fas","63","606"
"Danio_rerio.20.50207737.50207864.fas","97","260"
"Danio_rerio.20.50222037.50222208.fas","87","508"
"Danio_rerio.20.50227040.50227164.fas","92","328"
"Danio_rerio.20.50228275.50228442.fas","93","628"
"Danio_rerio.20.50378377.50378667.fas","61","172"
"Danio_rerio.20.50394564.50394884.fas","93","245"
