Locus	Aver. coding region length(bp)	Aver. flanking region length(bp)	Alignment length(bp)	Aver. GC content(%)	Missing data(%)	Pairwise distance
Danio_rerio.10.11775672.11775490	179.22	123.30	183	62.03	2.07	0.05
Danio_rerio.10.13108255.13108128	122.90	149.02	126	54.94	2.46	0.04
Danio_rerio.10.1635981.1635790	191.51	270.49	192	50.62	0.26	0.02
Danio_rerio.10.16958509.16958629	116.97	252.13	117	60.80	0.03	0.07
Danio_rerio.10.23337334.23337142	191.44	253.26	192	58.63	0.29	0.05
Danio_rerio.10.27291922.27292085	161.94	203.78	162	52.46	0.04	0.06
Danio_rerio.10.30654206.30654020	185.47	269.07	186	53.61	0.28	0.02
Danio_rerio.10.30666863.30667049	183.47	256.77	186	57.13	1.36	0.02
Danio_rerio.10.30800297.30799991	212.00	287.53	213	59.67	0.47	0.01
Danio_rerio.10.32015598.32014865	734.95	315.05	750	58.03	2.01	0.04
Danio_rerio.10.33338435.33338270	162.00	298.30	162	58.15	0.00	0.01
Danio_rerio.10.33420270.33420109	161.58	282.08	162	57.83	0.26	0.02
Danio_rerio.10.34604673.34604840	161.12	216.78	162	60.59	0.54	0.08
Danio_rerio.10.6742138.6742289	150.00	307.08	150	49.64	0.00	0.02
Danio_rerio.10.6749249.6749396	137.81	155.86	144	54.00	4.30	0.07
Danio_rerio.10.7200645.7200505	140.72	247.36	141	49.51	0.20	0.04
Danio_rerio.11.10899241.10899116	125.97	295.40	126	48.32	0.03	0.01
Danio_rerio.11.10908119.10908000	120.00	315.52	120	49.02	0.00	0.02
Danio_rerio.11.1320459.1320338	119.28	258.62	120	53.42	0.60	0.01
Danio_rerio.11.1354895.1354739	155.94	274.92	156	59.44	0.04	0.02
Danio_rerio.11.14342376.14342155	196.97	256.85	216	54.71	8.81	0.03
Danio_rerio.11.14353302.14353733	278.73	207.78	282	69.09	1.16	0.03
Danio_rerio.11.16233723.16233931	194.10	224.51	198	52.72	1.97	0.04
Danio_rerio.11.16256857.16257008	148.38	194.43	150	60.93	1.08	0.03
Danio_rerio.11.16543041.16543291	241.71	186.14	246	58.50	1.75	0.03
Danio_rerio.11.16968253.16968716	447.50	184.50	459	59.31	2.51	0.10
Danio_rerio.11.18258004.18257861	137.88	268.75	138	46.26	0.09	0.02
Danio_rerio.11.19924211.19924416	203.91	266.70	204	58.65	0.05	0.03
Danio_rerio.11.19926261.19926406	141.91	155.79	144	57.00	1.45	0.03
Danio_rerio.11.23200485.23200305	164.57	112.71	180	51.07	8.57	0.14
Danio_rerio.11.2584367.2584488	118.86	262.57	120	48.26	0.95	0.01
Danio_rerio.11.28623332.28622919	353.57	248.19	357	59.88	0.96	0.02
Danio_rerio.11.28697579.28697189	382.91	197.10	390	61.95	1.82	0.03
Danio_rerio.11.37306870.37306718	149.94	242.52	150	50.53	0.04	0.02
Danio_rerio.11.37322871.37323365	473.08	210.92	489	61.44	3.26	0.02
Danio_rerio.11.3960955.3960836	119.81	222.96	120	50.35	0.16	0.01
Danio_rerio.11.3961259.3961121	133.22	120.55	138	52.30	3.46	0.04
Danio_rerio.11.42133756.42134630	508.88	235.53	540	51.00	5.76	0.03
Danio_rerio.12.1220536.1220416	115.00	159.08	117	63.06	1.71	0.03
Danio_rerio.12.12299299.12299464	163.71	181.00	165	60.55	0.78	0.02
Danio_rerio.12.14813631.14813815	182.97	302.34	183	57.81	0.02	0.02
Danio_rerio.12.14814302.14814448	140.03	295.78	141	53.70	0.69	0.02
Danio_rerio.12.14818610.14818744	133.97	219.13	135	57.70	0.77	0.03
Danio_rerio.12.14821486.14821635	149.78	298.19	150	52.34	0.14	0.02
Danio_rerio.12.14887893.14888055	143.65	169.18	153	62.11	6.11	0.03
Danio_rerio.12.15290963.15290817	134.28	88.58	141	67.42	4.77	0.02
Danio_rerio.12.15555860.15555996	133.41	202.46	135	54.78	1.17	0.02
Danio_rerio.12.15572131.15572277	143.75	279.65	144	51.95	0.17	0.03
Danio_rerio.12.15572384.15572533	144.55	216.32	147	63.39	1.66	0.03
Danio_rerio.12.18975898.18976132	231.71	266.55	234	59.12	0.98	0.03
Danio_rerio.12.18978231.18978425	194.84	292.74	195	54.92	0.08	0.02
Danio_rerio.12.18978521.18978712	191.12	233.37	192	51.99	0.46	0.02
Danio_rerio.12.18982229.18982429	200.97	245.83	201	60.59	0.02	0.03
Danio_rerio.12.18998852.18999112	260.04	240.11	261	64.09	0.37	0.02
Danio_rerio.12.19018781.19018979	197.43	247.90	198	53.73	0.29	0.02
Danio_rerio.12.19057787.19057966	171.39	133.95	177	61.78	3.17	0.03
Danio_rerio.12.19059855.19060001	142.86	119.76	147	62.12	2.81	0.03
Danio_rerio.12.19067832.19067969	135.59	150.79	138	61.28	1.75	0.01
Danio_rerio.12.19070813.19070948	133.82	208.92	135	57.71	0.88	0.03
Danio_rerio.12.19119104.19119335	224.55	232.09	228	54.14	1.51	0.02
Danio_rerio.12.19126535.19126738	202.34	190.28	204	61.00	0.81	0.02
Danio_rerio.12.19129542.19129736	190.73	191.50	195	65.29	2.19	0.05
Danio_rerio.12.19551107.19551818	326.12	239.47	330	60.32	1.18	0.07
Danio_rerio.12.19576327.19576490	157.86	260.90	159	53.47	0.72	0.02
Danio_rerio.12.23916832.23916964	131.71	258.53	132	51.73	0.22	0.02
Danio_rerio.12.23917835.23918116	281.84	284.04	282	57.54	0.06	0.02
Danio_rerio.12.23920360.23920569	205.85	217.71	210	57.85	1.98	0.03
Danio_rerio.12.23921131.23921334	203.43	278.41	204	52.78	0.28	0.02
Danio_rerio.12.23921855.23922038	179.12	275.44	180	56.89	0.49	0.02
Danio_rerio.12.23922259.23922430	166.37	153.07	171	54.84	2.71	0.03
Danio_rerio.12.23924925.23925111	184.71	235.10	186	62.99	0.69	0.02
Danio_rerio.12.23983879.23984119	234.82	243.73	237	54.11	0.92	0.03
Danio_rerio.12.25087890.25088114	186.16	228.05	189	50.27	1.50	0.02
Danio_rerio.12.26434797.26434590	206.35	277.85	207	52.73	0.31	0.03
Danio_rerio.12.28657090.28657269	175.13	245.65	177	63.54	1.05	0.01
Danio_rerio.12.30792407.30792549	140.25	211.19	141	62.15	0.53	0.03
Danio_rerio.12.30807362.30807550	187.25	229.46	189	62.87	0.93	0.02
Danio_rerio.12.31958040.31958252	207.44	266.06	210	59.86	1.22	0.04
Danio_rerio.12.31968923.31969112	146.37	169.97	150	58.47	2.42	0.04
Danio_rerio.12.33347692.33347836	144.00	258.15	144	60.06	0.00	0.02
Danio_rerio.12.33389312.33389510	198.00	233.84	198	57.66	0.00	0.05
Danio_rerio.12.35136117.35135966	142.98	272.52	144	61.37	0.71	0.03
Danio_rerio.12.35305933.35305693	237.00	287.90	237	54.01	0.00	0.02
Danio_rerio.12.35309185.35308370	389.43	225.87	390	57.50	0.15	0.03
Danio_rerio.12.35313681.35313889	194.35	280.68	195	59.97	0.33	0.02
Danio_rerio.12.36269913.36270193	275.94	236.37	276	62.09	0.02	0.03
Danio_rerio.12.40250032.40250256	161.00	45.67	165	57.67	2.42	0.20
Danio_rerio.12.47683812.47684013	121.69	105.28	135	63.14	9.86	0.08
Danio_rerio.12.48861511.48861335	164.73	313.86	168	52.27	1.94	0.03
Danio_rerio.12.48863533.48863399	110.01	317.53	111	53.34	0.89	0.02
Danio_rerio.12.49104978.49105142	163.61	229.46	165	56.21	0.84	0.04
Danio_rerio.12.8830768.8830587	179.72	258.64	180	64.23	0.16	0.03
Danio_rerio.12.8841016.8840838	173.96	220.96	180	59.12	3.36	0.05
Danio_rerio.12.8854582.8854453	128.85	298.14	129	49.67	0.12	0.05
Danio_rerio.12.9962557.9962700	140.39	126.47	144	57.77	2.51	0.03
Danio_rerio.12.9967973.9968136	155.73	237.28	162	61.52	3.87	0.04
Danio_rerio.13.1010175.1010309	134.32	176.32	135	60.78	0.51	0.04
Danio_rerio.13.10222399.10222198	199.10	240.09	201	52.31	0.95	0.03
Danio_rerio.13.10648261.10648399	125.34	201.20	129	59.55	2.84	0.02
Danio_rerio.13.12413171.12413025	128.67	202.97	129	53.66	0.26	0.09
Danio_rerio.13.12685153.12685346	190.75	233.38	192	62.48	0.65	0.02
Danio_rerio.13.12756572.12756724	151.99	207.43	153	54.20	0.66	0.02
Danio_rerio.13.12773697.12774412	399.88	224.59	405	66.35	1.26	0.03
Danio_rerio.13.1277793.1277399	362.29	323.53	363	54.95	0.20	0.04
Danio_rerio.13.12960192.12960326	131.94	254.65	132	55.33	0.05	0.04
Danio_rerio.13.12965596.12965734	132.38	175.45	135	58.34	1.94	0.02
Danio_rerio.13.13858006.13858693	173.71	211.22	174	58.76	0.17	0.02
Danio_rerio.13.13858786.13858959	172.68	222.43	177	66.90	2.44	0.02
Danio_rerio.13.1466889.1467387	491.51	246.43	498	55.61	1.30	0.02
Danio_rerio.13.1470585.1472053	1422.94	293.29	1488	51.39	4.37	0.02
Danio_rerio.13.18241507.18241374	131.32	305.32	132	44.21	0.52	0.01
Danio_rerio.13.18463225.18463413	185.37	201.64	189	55.48	1.92	0.03
Danio_rerio.13.19330618.19330808	189.00	297.91	189	55.03	0.00	0.03
Danio_rerio.13.19340676.19340812	134.74	268.88	135	54.48	0.19	0.02
Danio_rerio.13.2170123.2170243	119.97	290.05	120	47.50	0.03	0.02
Danio_rerio.13.2258206.2258385	175.06	172.48	180	62.99	2.74	0.04
Danio_rerio.13.23235199.23234753	440.69	210.33	450	61.18	2.07	0.02
Danio_rerio.13.23765811.23765626	185.72	267.33	186	59.11	0.15	0.04
Danio_rerio.13.23935790.23936211	164.21	196.84	168	62.43	2.26	0.03
Danio_rerio.13.24125183.24125443	256.05	258.90	258	54.44	0.76	0.03
Danio_rerio.13.2415092.2414893	196.91	221.40	198	46.91	0.55	0.03
Danio_rerio.13.2479817.2479652	163.10	174.33	165	64.33	1.15	0.03
Danio_rerio.13.2497657.2497510	145.33	161.20	147	60.55	1.14	0.03
Danio_rerio.13.25681417.25681544	120.50	225.53	123	52.30	2.03	0.05
Danio_rerio.13.25740509.25740694	174.06	135.47	180	56.67	3.30	0.11
Danio_rerio.13.25779016.25779136	117.32	145.67	120	64.88	2.23	0.10
Danio_rerio.13.25809403.25809246	152.94	231.10	153	53.97	0.04	0.05
Danio_rerio.13.25810415.25810236	176.62	231.92	177	58.58	0.21	0.03
Danio_rerio.13.25814810.25814596	209.17	227.91	213	63.37	1.80	0.03
Danio_rerio.13.25816686.25816430	215.45	116.94	216	57.67	0.25	0.03
Danio_rerio.13.30258154.30256712	587.33	142.06	675	54.48	12.99	0.05
Danio_rerio.13.31106791.31106922	125.62	188.50	126	48.31	0.30	0.08
Danio_rerio.13.31123940.31124158	217.50	209.02	219	51.27	0.68	0.03
Danio_rerio.13.33414271.33414131	141.00	271.79	141	53.25	0.00	0.05
Danio_rerio.13.36198441.36198319	119.66	240.49	120	51.44	0.28	0.02
Danio_rerio.13.36219960.36219803	155.67	284.41	156	51.53	0.21	0.01
Danio_rerio.13.37189920.37189707	208.76	215.71	210	60.69	0.59	0.02
Danio_rerio.13.37194273.37194003	264.08	227.44	270	62.90	2.19	0.03
Danio_rerio.13.37387440.37387748	300.61	198.63	306	68.61	1.76	0.02
Danio_rerio.13.39086023.39085898	126.00	294.19	126	47.06	0.00	0.01
Danio_rerio.13.41312188.41312330	140.85	256.68	141	52.27	0.11	0.04
Danio_rerio.13.4236446.4236586	140.94	217.50	141	54.87	0.04	0.02
Danio_rerio.13.4252763.4252905	138.77	238.27	141	42.04	1.58	0.02
Danio_rerio.13.4255675.4255861	185.85	291.57	186	50.69	0.08	0.02
Danio_rerio.13.42574926.42575058	131.06	240.01	132	49.90	0.72	0.03
Danio_rerio.13.42581046.42581217	170.86	239.68	171	57.52	0.08	0.01
Danio_rerio.13.4263019.4263174	149.48	176.08	153	53.70	2.30	0.01
Danio_rerio.13.43146108.43145960	145.68	158.13	147	65.88	0.90	0.02
Danio_rerio.13.43870367.43870489	119.67	249.82	120	59.96	0.27	0.03
Danio_rerio.13.43888382.43888193	187.04	244.81	189	59.15	1.04	0.02
Danio_rerio.13.43889604.43889431	167.05	206.14	171	61.33	2.31	0.05
Danio_rerio.13.43891061.43890928	129.86	163.73	132	58.06	1.62	0.03
Danio_rerio.13.43893106.43892936	170.68	227.87	171	51.74	0.18	0.08
Danio_rerio.13.43895443.43895272	167.27	189.89	171	54.43	2.18	0.03
Danio_rerio.13.43900428.43900215	206.56	231.18	210	56.71	1.64	0.03
Danio_rerio.13.47557884.47558110	135.82	176.66	138	63.51	1.58	0.02
Danio_rerio.13.49087411.49087264	145.52	213.67	147	51.56	1.00	0.06
Danio_rerio.13.5659043.5659173	126.00	304.79	126	52.90	0.00	0.01
Danio_rerio.13.8049212.8049081	128.01	228.76	129	46.48	0.77	0.06
Danio_rerio.13.8242408.8242259	145.06	191.34	147	63.52	1.32	0.03
Danio_rerio.13.9224282.9224136	144.00	297.15	144	52.62	0.00	0.01
Danio_rerio.13.9226647.9226508	135.18	140.96	138	58.73	2.05	0.03
Danio_rerio.13.9235747.9235625	120.00	291.59	120	52.47	0.00	0.02
Danio_rerio.14.1235165.1235022	139.15	145.47	144	57.68	3.37	0.03
Danio_rerio.14.12420546.12420755	209.48	294.17	210	54.14	0.25	0.02
Danio_rerio.14.12461255.12461412	145.98	153.43	150	65.43	2.68	0.02
Danio_rerio.14.12710238.12710417	179.85	307.33	180	51.34	0.09	0.01
Danio_rerio.14.12719933.12720064	130.52	305.41	132	50.63	1.12	0.01
Danio_rerio.14.12721300.12721484	182.76	285.42	183	52.80	0.13	0.02
Danio_rerio.14.23113002.23112807	194.74	321.35	195	48.75	0.13	0.02
Danio_rerio.14.24569066.24569215	147.46	234.75	150	53.46	1.69	0.02
Danio_rerio.14.27470066.27469940	126.00	232.79	126	50.69	0.00	0.01
Danio_rerio.14.27473539.27473387	153.00	283.45	153	60.31	0.00	0.02
Danio_rerio.14.33820042.33819607	426.89	286.83	432	48.97	1.18	0.02
Danio_rerio.14.3917504.3917186	307.09	232.63	309	58.00	0.62	0.03
Danio_rerio.14.40053968.40054243	271.44	256.17	273	55.18	0.57	0.03
Danio_rerio.14.40057081.40057251	164.33	285.70	165	48.33	0.41	0.03
Danio_rerio.14.4155878.4155603	131.97	308.36	132	51.22	0.02	0.02
Danio_rerio.14.42179289.42179422	128.95	195.14	132	46.90	2.31	0.05
Danio_rerio.14.47546722.47546937	193.50	157.17	201	52.40	3.73	0.06
Danio_rerio.14.47705546.47705684	135.00	243.04	135	55.66	0.00	0.06
Danio_rerio.14.47717881.47718063	178.23	168.02	180	52.19	0.98	0.07
Danio_rerio.14.49325852.49325677	173.02	249.42	174	50.32	0.56	0.02
Danio_rerio.14.51664687.51664818	131.20	200.52	132	61.95	0.61	0.05
Danio_rerio.14.53372394.53372227	167.31	267.84	168	55.81	0.41	0.01
Danio_rerio.14.53583886.53584025	137.90	239.80	138	65.13	0.07	0.02
Danio_rerio.14.7351569.7351694	124.17	181.53	126	56.07	1.46	0.03
Danio_rerio.15.123781.124018	233.36	262.57	234	57.37	0.27	0.02
Danio_rerio.15.13880582.13880709	125.87	206.90	126	60.07	0.10	0.02
Danio_rerio.15.14504669.14504877	204.61	232.67	207	49.04	1.15	0.02
Danio_rerio.15.1490246.1490123	119.97	248.20	120	48.41	0.03	0.02
Danio_rerio.15.15149106.15148971	131.97	244.57	132	46.69	0.02	0.05
Danio_rerio.15.15155326.15155205	118.44	187.13	120	52.09	1.30	0.03
Danio_rerio.15.1538012.1538188	172.26	201.57	174	44.24	1.00	0.03
Danio_rerio.15.1546296.1546436	135.21	287.87	138	44.25	2.02	0.02
Danio_rerio.15.1565400.1565632	230.32	224.06	231	57.56	0.30	0.03
Danio_rerio.15.16110338.16110473	133.72	245.46	135	48.09	0.95	0.03
Danio_rerio.15.1881136.1881263	126.00	316.53	126	46.76	0.00	0.01
Danio_rerio.15.1882560.1882689	128.13	282.30	129	46.76	0.67	0.02
Danio_rerio.15.1884737.1884901	164.97	270.57	165	54.66	0.02	0.01
Danio_rerio.15.1886823.1886972	123.24	224.04	129	57.90	4.46	0.02
Danio_rerio.15.19335915.19336166	249.95	172.94	252	60.53	0.81	0.03
Danio_rerio.15.19341425.19341571	141.32	189.52	144	61.67	1.86	0.02
Danio_rerio.15.19341667.19341792	122.68	127.51	126	61.46	2.63	0.02
Danio_rerio.15.22791229.22790993	180.83	157.07	183	55.11	1.19	0.02
Danio_rerio.15.23136899.23136641	155.16	242.02	156	54.59	0.54	0.05
Danio_rerio.15.24462727.24462579	145.50	148.89	147	51.03	1.02	0.04
Danio_rerio.15.25309293.25309139	152.97	242.01	153	50.59	0.02	0.01
Danio_rerio.15.25891396.25891070	323.66	237.29	324	56.96	0.11	0.03
Danio_rerio.15.27600492.27600299	191.84	249.51	192	58.98	0.08	0.02
Danio_rerio.15.27601244.27601116	129.00	317.98	129	52.79	0.00	0.02
Danio_rerio.15.27601571.27601330	237.80	245.45	240	58.35	0.92	0.02
Danio_rerio.15.27601857.27601666	189.00	336.37	189	59.24	0.00	0.01
Danio_rerio.15.27602150.27601990	157.99	241.96	159	54.17	0.64	0.02
Danio_rerio.15.27602714.27602585	125.97	275.74	126	56.54	0.02	0.02
Danio_rerio.15.27602959.27602790	166.84	246.11	168	58.31	0.69	0.01
Danio_rerio.15.27603456.27603277	174.81	226.79	177	57.12	1.23	0.02
Danio_rerio.15.27606169.27605977	191.72	321.99	192	61.24	0.14	0.02
Danio_rerio.15.27606671.27606508	161.71	250.89	162	60.84	0.18	0.03
Danio_rerio.15.27606963.27606757	204.74	245.51	207	61.86	1.09	0.02
Danio_rerio.15.27608295.27608176	117.00	305.23	117	56.01	0.00	0.03
Danio_rerio.15.31913616.31913942	274.48	249.23	279	58.89	1.62	0.03
Danio_rerio.15.41815123.41815623	185.59	296.14	189	60.51	1.80	0.01
Danio_rerio.15.43084570.43084430	131.94	221.80	138	55.53	4.39	0.03
Danio_rerio.15.44034117.44033966	147.84	120.96	150	55.86	1.44	0.10
Danio_rerio.15.44047704.44047440	122.90	198.12	123	63.72	0.08	0.07
Danio_rerio.15.44073384.44073001	155.83	193.29	159	61.07	1.99	0.04
Danio_rerio.15.44144313.44144545	152.38	191.36	153	57.22	0.41	0.07
Danio_rerio.15.44172282.44172424	135.27	147.20	138	57.58	1.98	0.05
Danio_rerio.15.44382585.44382443	146.21	251.47	153	57.15	4.44	0.03
Danio_rerio.15.45488172.45488582	336.91	239.49	342	57.14	1.49	0.03
Danio_rerio.15.46583426.46583554	126.00	313.80	126	42.09	0.00	0.01
Danio_rerio.15.6433676.6433459	212.37	238.00	216	54.92	1.68	0.02
Danio_rerio.15.7068572.7068702	128.22	258.82	129	57.20	0.61	0.02
Danio_rerio.16.12029201.12029407	149.23	255.12	150	61.89	0.51	0.02
Danio_rerio.16.14284107.14284333	131.94	129.26	132	66.60	0.05	0.04
Danio_rerio.16.14287185.14287389	200.88	263.49	204	53.30	1.53	0.02
Danio_rerio.16.16034840.16034990	149.69	251.16	150	54.79	0.21	0.01
Danio_rerio.16.18323582.18323705	122.32	252.38	123	43.21	0.56	0.02
Danio_rerio.16.18326727.18326871	116.97	276.24	117	54.85	0.03	0.02
Danio_rerio.16.18352845.18353006	155.78	293.07	156	50.00	0.14	0.02
Danio_rerio.16.19755043.19754891	142.20	103.40	150	52.43	5.20	0.14
Danio_rerio.16.23943098.23942929	165.52	179.62	168	58.38	1.48	0.02
Danio_rerio.16.26131842.26132035	191.94	237.98	192	53.34	0.03	0.03
Danio_rerio.16.27586971.27588229	338.45	243.90	348	55.51	2.74	0.03
Danio_rerio.16.28949126.28949670	381.48	210.61	387	59.88	1.43	0.04
Danio_rerio.16.29387188.29387057	125.69	110.88	129	58.78	2.56	0.05
Danio_rerio.16.29428678.29428816	138.00	326.31	138	52.08	0.00	0.01
Danio_rerio.16.29428890.29429136	245.93	287.99	246	49.93	0.03	0.02
Danio_rerio.16.29451330.29451005	176.12	238.25	180	57.04	2.16	0.02
Danio_rerio.16.29717177.29717386	202.12	206.97	207	62.38	2.36	0.03
Danio_rerio.16.31247153.31247455	237.43	211.03	282	60.73	15.81	0.03
Danio_rerio.16.32721558.32721409	147.56	145.39	150	63.48	1.63	0.01
Danio_rerio.16.34146314.34146491	173.30	267.13	174	59.73	0.40	0.03
Danio_rerio.16.34997837.34997183	174.65	213.63	177	63.37	1.33	0.03
Danio_rerio.16.35394202.35393937	253.88	232.64	255	56.97	0.44	0.02
Danio_rerio.16.38141401.38141200	200.30	251.05	201	62.22	0.35	0.02
Danio_rerio.16.40235718.40235575	142.81	193.93	144	60.36	0.83	0.03
Danio_rerio.16.42715246.42715402	154.66	161.64	156	61.70	0.86	0.06
Danio_rerio.16.43787220.43787089	131.78	229.39	132	50.05	0.17	0.01
Danio_rerio.16.46124581.46124704	123.00	284.28	123	59.22	0.00	0.02
Danio_rerio.16.46138119.46137966	149.91	233.40	150	58.45	0.06	0.05
Danio_rerio.16.46147433.46147309	119.45	154.18	123	62.62	2.89	0.07
Danio_rerio.16.48762566.48762689	116.49	108.42	120	54.80	2.92	0.02
Danio_rerio.16.48762784.48762940	149.15	155.70	153	64.03	2.52	0.03
Danio_rerio.16.50507492.50506190	804.25	195.33	831	63.82	3.22	0.06
Danio_rerio.16.55608807.55608626	179.97	278.48	180	51.23	0.02	0.03
Danio_rerio.16.56182262.56181994	265.22	264.31	267	57.57	0.66	0.02
Danio_rerio.16.56184365.56184108	249.36	199.59	252	58.28	1.05	0.02
Danio_rerio.16.56194402.56194276	122.91	293.47	123	51.82	0.08	0.01
Danio_rerio.16.56469514.56469382	129.00	284.59	129	53.50	0.00	0.02
Danio_rerio.16.567906.567280	113.79	228.56	114	48.73	0.19	0.02
Danio_rerio.16.56938109.56938273	164.32	284.21	165	58.50	0.41	0.03
Danio_rerio.16.57067809.57067949	134.91	230.31	138	46.26	2.24	0.04
Danio_rerio.16.58478296.58478128	163.65	267.42	165	49.18	0.82	0.01
Danio_rerio.16.7946469.7949094	441.22	179.42	447	64.12	1.29	0.03
Danio_rerio.16.8603325.8603452	125.97	202.01	126	58.79	0.02	0.02
Danio_rerio.17.10554466.10554631	159.34	150.23	162	60.89	1.64	0.12
Danio_rerio.17.12104845.12104592	146.20	188.39	156	62.78	6.28	0.02
Danio_rerio.17.12663963.12664171	205.18	228.47	207	61.42	0.88	0.04
Danio_rerio.17.14319367.14319149	211.58	184.61	216	60.17	2.05	0.02
Danio_rerio.17.14324376.14324222	151.63	239.46	153	53.68	0.89	0.02
Danio_rerio.17.177244.177091	152.45	262.29	153	59.37	0.36	0.02
Danio_rerio.17.177823.177615	205.79	240.14	207	55.81	0.58	0.03
Danio_rerio.17.183623.183489	133.99	202.74	135	47.72	0.75	0.05
Danio_rerio.17.186268.186141	124.94	229.26	126	55.01	0.84	0.03
Danio_rerio.17.19259708.19259440	266.81	263.57	267	59.52	0.07	0.02
Danio_rerio.17.19274192.19274010	176.12	223.73	180	57.84	2.16	0.03
Danio_rerio.17.19279316.19279177	138.00	269.78	138	64.54	0.00	0.03
Danio_rerio.17.21960555.21960430	119.57	171.83	120	64.71	0.36	0.04
Danio_rerio.17.22437425.22437562	136.83	211.24	138	52.11	0.85	0.02
Danio_rerio.17.22445169.22445362	191.51	271.56	192	59.60	0.26	0.03
Danio_rerio.17.22447983.22448152	163.71	130.48	168	62.98	2.56	0.04
Danio_rerio.17.22451343.22451503	151.28	209.23	153	55.36	1.12	0.03
Danio_rerio.17.227059.226883	177.00	299.13	177	54.39	0.00	0.01
Danio_rerio.17.227463.227323	141.00	352.19	141	55.71	0.00	0.02
Danio_rerio.17.230285.230136	149.61	192.61	150	56.31	0.26	0.01
Danio_rerio.17.230803.230624	175.29	194.92	180	49.47	2.62	0.02
