Name,# Nucleotide Sequences With Mates,# Nucleotides,# Sequences,%GC,Created Date,Description,Imported From: Filename,Imported From: Path,Max Sequence Length,Min Sequence Length,Modified,SequenceListOrderingRevisionNumber,Size,URN
Danio_rerio.13.2240385.2241328,0,690,2,66.5%,Thu Jul 02 10:26:25 PDT 2020,,Danio_rerio.13.2240385.2241328.fas,F:\Temnocora\Exon\assemble_result\nf,345,345,Thu Jul 02 10:26:25 PDT 2020,0,1 KB,urn:local:.:ju-c44nqf4
Danio_rerio.15.6713625.6713942,0,612,2,52.8%,Thu Jul 02 10:26:29 PDT 2020,,Danio_rerio.15.6713625.6713942.fas,F:\Temnocora\Exon\assemble_result\nf,306,306,Thu Jul 02 10:26:29 PDT 2020,0,1 KB,urn:local:.:xo-c44nqr9
Danio_rerio.15.13563118.13564642,0,2883,2,62.9%,Thu Jul 02 10:26:28 PDT 2020,,Danio_rerio.15.13563118.13564642.fas,F:\Temnocora\Exon\assemble_result\nf,1443,1440,Thu Jul 02 10:26:28 PDT 2020,0,4 KB,urn:local:.:si-c44nqmw
Danio_rerio.17.8690269.8690444,0,315,2,57.8%,Thu Jul 02 10:26:33 PDT 2020,,Danio_rerio.17.8690269.8690444.fas,F:\Temnocora\Exon\assemble_result\nf,174,141,Thu Jul 02 10:26:33 PDT 2020,0,1 KB,urn:local:.:19l-c44nr1h
Danio_rerio.17.12052831.12052545,0,210,2,54.3%,Thu Jul 02 10:26:31 PDT 2020,,Danio_rerio.17.12052831.12052545.fas,F:\Temnocora\Exon\assemble_result\nf,111,99,Thu Jul 02 10:26:31 PDT 2020,0,1 KB,urn:local:.:133-c44nqvx
Danio_rerio.17.19290052.19289918,0,270,2,42.2%,Thu Jul 02 10:26:31 PDT 2020,,Danio_rerio.17.19290052.19289918.fas,F:\Temnocora\Exon\assemble_result\nf,135,135,Thu Jul 02 10:26:31 PDT 2020,0,1 KB,urn:local:.:14c-c44nqwx
Danio_rerio.17.52302125.52303558,0,1911,2,58.8%,Thu Jul 02 10:26:33 PDT 2020,,Danio_rerio.17.52302125.52303558.fas,F:\Temnocora\Exon\assemble_result\nf,1044,867,Thu Jul 02 10:26:33 PDT 2020,0,3 KB,urn:local:.:18r-c44nr0l
Danio_rerio.18.4524377.4524541,0,312,2,60.6%,Thu Jul 02 10:26:34 PDT 2020,,Danio_rerio.18.4524377.4524541.fas,F:\Temnocora\Exon\assemble_result\nf,165,147,Thu Jul 02 10:26:34 PDT 2020,0,1 KB,urn:local:.:1d0-c44nr48
Danio_rerio.19.32146188.32142653,0,1347,2,52.9%,Thu Jul 02 10:26:34 PDT 2020,,Danio_rerio.19.32146188.32142653.fas,F:\Temnocora\Exon\assemble_result\nf,720,627,Thu Jul 02 10:26:34 PDT 2020,0,2 KB,urn:local:.:1eo-c44nr5k
Danio_rerio.20.9283280.9283092,0,378,2,60.1%,Thu Jul 02 10:26:37 PDT 2020,,Danio_rerio.20.9283280.9283092.fas,F:\Temnocora\Exon\assemble_result\nf,189,189,Thu Jul 02 10:26:37 PDT 2020,0,1 KB,urn:local:.:1po-c44nref
Danio_rerio.20.14728723.14729604,0,1008,2,62.4%,Thu Jul 02 10:26:36 PDT 2020,,Danio_rerio.20.14728723.14729604.fas,F:\Temnocora\Exon\assemble_result\nf,546,462,Thu Jul 02 10:26:36 PDT 2020,0,2 KB,urn:local:.:1l6-c44nrat
Danio_rerio.21.27010158.27008437,0,3258,2,54.6%,Thu Jul 02 10:26:38 PDT 2020,,Danio_rerio.21.27010158.27008437.fas,F:\Temnocora\Exon\assemble_result\nf,1632,1626,Thu Jul 02 10:26:38 PDT 2020,0,4 KB,urn:local:.:1r3-c44nrfi
Danio_rerio.21.27011724.27011516,0,414,2,50.5%,Thu Jul 02 10:26:38 PDT 2020,,Danio_rerio.21.27011724.27011516.fas,F:\Temnocora\Exon\assemble_result\nf,207,207,Thu Jul 02 10:26:38 PDT 2020,0,1 KB,urn:local:.:1r6-c44nrfk
Danio_rerio.25.18512649.18512821,0,315,2,50.2%,Thu Jul 02 10:26:42 PDT 2020,,Danio_rerio.25.18512649.18512821.fas,F:\Temnocora\Exon\assemble_result\nf,171,144,Thu Jul 02 10:26:42 PDT 2020,0,1 KB,urn:local:.:25f-c44nrrq
Gasterosteus_aculeatus.groupI.6495123.6495264,0,282,2,50.0%,Thu Jul 02 10:26:55 PDT 2020,,Gasterosteus_aculeatus.groupI.6495123.6495264.fas,F:\Temnocora\Exon\assemble_result\nf,141,141,Thu Jul 02 10:26:55 PDT 2020,0,1 KB,urn:local:.:39o-c44nsqr
Gasterosteus_aculeatus.groupI.15844286.15844486,0,396,2,51.3%,Thu Jul 02 10:26:54 PDT 2020,,Gasterosteus_aculeatus.groupI.15844286.15844486.fas,F:\Temnocora\Exon\assemble_result\nf,198,198,Thu Jul 02 10:26:54 PDT 2020,0,1 KB,urn:local:.:366-c44nsnw
Gasterosteus_aculeatus.groupIV.8520482.8520795,0,642,2,57.5%,Thu Jul 02 10:26:59 PDT 2020,,Gasterosteus_aculeatus.groupIV.8520482.8520795.fas,F:\Temnocora\Exon\assemble_result\nf,339,303,Thu Jul 02 10:26:59 PDT 2020,0,1 KB,urn:local:.:3nl-c44nt2n
Gasterosteus_aculeatus.groupIV.12034702.12034920,0,396,2,62.6%,Thu Jul 02 10:26:58 PDT 2020,,Gasterosteus_aculeatus.groupIV.12034702.12034920.fas,F:\Temnocora\Exon\assemble_result\nf,216,180,Thu Jul 02 10:26:58 PDT 2020,0,1 KB,urn:local:.:3j6-c44nsz1
Gasterosteus_aculeatus.groupIV.13259497.13258735,0,1473,2,59.1%,Thu Jul 02 10:26:58 PDT 2020,,Gasterosteus_aculeatus.groupIV.13259497.13258735.fas,F:\Temnocora\Exon\assemble_result\nf,741,732,Thu Jul 02 10:26:58 PDT 2020,0,2 KB,urn:local:.:3jf-c44nsz8
Gasterosteus_aculeatus.groupVI.2895917.2896112,0,297,2,41.1%,Thu Jul 02 10:27:02 PDT 2020,,Gasterosteus_aculeatus.groupVI.2895917.2896112.fas,F:\Temnocora\Exon\assemble_result\nf,150,147,Thu Jul 02 10:27:02 PDT 2020,0,1 KB,urn:local:.:3xu-c44ntbj
Gasterosteus_aculeatus.groupVII.6801080.6800888,0,324,2,54.6%,Thu Jul 02 10:27:05 PDT 2020,,Gasterosteus_aculeatus.groupVII.6801080.6800888.fas,F:\Temnocora\Exon\assemble_result\nf,165,159,Thu Jul 02 10:27:05 PDT 2020,0,1 KB,urn:local:.:46c-c44ntil
Gasterosteus_aculeatus.groupVIII.17358812.17359049,0,396,2,61.6%,Thu Jul 02 10:27:06 PDT 2020,,Gasterosteus_aculeatus.groupVIII.17358812.17359049.fas,F:\Temnocora\Exon\assemble_result\nf,198,198,Thu Jul 02 10:27:06 PDT 2020,0,1 KB,urn:local:.:48c-c44ntk8
Gasterosteus_aculeatus.groupX.13415215.13413978,0,1548,2,52.8%,Thu Jul 02 10:27:06 PDT 2020,,Gasterosteus_aculeatus.groupX.13415215.13413978.fas,F:\Temnocora\Exon\assemble_result\nf,852,696,Thu Jul 02 10:27:06 PDT 2020,0,2 KB,urn:local:.:4ac-c44ntlu
Gasterosteus_aculeatus.groupXII.15368149.15368817,0,1371,2,56.5%,Thu Jul 02 10:27:08 PDT 2020,,Gasterosteus_aculeatus.groupXII.15368149.15368817.fas,F:\Temnocora\Exon\assemble_result\nf,693,678,Thu Jul 02 10:27:08 PDT 2020,0,2 KB,urn:local:.:4h9-c44ntrq
Gasterosteus_aculeatus.groupXIII.12946489.12948571,0,4155,2,50.6%,Thu Jul 02 10:27:10 PDT 2020,,Gasterosteus_aculeatus.groupXIII.12946489.12948571.fas,F:\Temnocora\Exon\assemble_result\nf,2091,2064,Thu Jul 02 10:27:10 PDT 2020,0,5 KB,urn:local:.:4mu-c44ntw5
Gasterosteus_aculeatus.groupXIX.9266045.9266215,0,336,2,61.3%,Thu Jul 02 10:27:14 PDT 2020,,Gasterosteus_aculeatus.groupXIX.9266045.9266215.fas,F:\Temnocora\Exon\assemble_result\nf,168,168,Thu Jul 02 10:27:14 PDT 2020,0,1 KB,urn:local:.:51c-c44nu8t
Gasterosteus_aculeatus.groupXV.5638514.5638755,0,414,2,48.1%,Thu Jul 02 10:27:16 PDT 2020,,Gasterosteus_aculeatus.groupXV.5638514.5638755.fas,F:\Temnocora\Exon\assemble_result\nf,207,207,Thu Jul 02 10:27:16 PDT 2020,0,1 KB,urn:local:.:56x-c44nuda
Gasterosteus_aculeatus.groupXV.11710681.11708668,0,1722,2,45.4%,Thu Jul 02 10:27:14 PDT 2020,,Gasterosteus_aculeatus.groupXV.11710681.11708668.fas,F:\Temnocora\Exon\assemble_result\nf,882,840,Thu Jul 02 10:27:14 PDT 2020,0,2 KB,urn:local:.:51o-c44nu92
Gasterosteus_aculeatus.groupXVI.6462438.6463841,0,2778,2,55.8%,Thu Jul 02 10:27:17 PDT 2020,,Gasterosteus_aculeatus.groupXVI.6462438.6463841.fas,F:\Temnocora\Exon\assemble_result\nf,1407,1371,Thu Jul 02 10:27:17 PDT 2020,0,3 KB,urn:local:.:5c0-c44nuhi
Gasterosteus_aculeatus.groupXVI.16705908.16706076,0,309,2,54.4%,Thu Jul 02 10:27:17 PDT 2020,,Gasterosteus_aculeatus.groupXVI.16705908.16706076.fas,F:\Temnocora\Exon\assemble_result\nf,162,147,Thu Jul 02 10:27:17 PDT 2020,0,1 KB,urn:local:.:59u-c44nufn
Gasterosteus_aculeatus.groupXVII.446299.446448,0,294,2,51.7%,Thu Jul 02 10:27:18 PDT 2020,,Gasterosteus_aculeatus.groupXVII.446299.446448.fas,F:\Temnocora\Exon\assemble_result\nf,147,147,Thu Jul 02 10:27:18 PDT 2020,0,1 KB,urn:local:.:5dr-c44nuiy
Gasterosteus_aculeatus.groupXVII.8963010.8962762,0,489,2,60.5%,Thu Jul 02 10:27:18 PDT 2020,,Gasterosteus_aculeatus.groupXVII.8963010.8962762.fas,F:\Temnocora\Exon\assemble_result\nf,246,243,Thu Jul 02 10:27:18 PDT 2020,0,1 KB,urn:local:.:5f0-c44nujy
Gasterosteus_aculeatus.groupXVIII.14999680.14999455,0,417,2,61.9%,Thu Jul 02 10:27:19 PDT 2020,,Gasterosteus_aculeatus.groupXVIII.14999680.14999455.fas,F:\Temnocora\Exon\assemble_result\nf,222,195,Thu Jul 02 10:27:19 PDT 2020,0,1 KB,urn:local:.:5hl-c44num2
Gasterosteus_aculeatus.scaffold_148.82664.83067,0,774,2,64.3%,Thu Jul 02 10:27:22 PDT 2020,,Gasterosteus_aculeatus.scaffold_148.82664.83067.fas,F:\Temnocora\Exon\assemble_result\nf,393,381,Thu Jul 02 10:27:22 PDT 2020,0,1 KB,urn:local:.:5ro-c44nuur
Gasterosteus_aculeatus.scaffold_1058.4209.4406,0,390,2,62.8%,Thu Jul 02 10:27:22 PDT 2020,,Gasterosteus_aculeatus.scaffold_1058.4209.4406.fas,F:\Temnocora\Exon\assemble_result\nf,195,195,Thu Jul 02 10:27:22 PDT 2020,0,1 KB,urn:local:.:5q0-c44nutf
Oryzias_latipes.1.914064.913895,0,336,2,63.1%,Thu Jul 02 10:27:25 PDT 2020,,Oryzias_latipes.1.914064.913895.fas,F:\Temnocora\Exon\assemble_result\nf,168,168,Thu Jul 02 10:27:25 PDT 2020,0,1 KB,urn:local:.:60f-c44nv2b
Oryzias_latipes.4.3505544.3505354,0,288,2,55.6%,Thu Jul 02 10:27:38 PDT 2020,,Oryzias_latipes.4.3505544.3505354.fas,F:\Temnocora\Exon\assemble_result\nf,156,132,Thu Jul 02 10:27:38 PDT 2020,0,1 KB,urn:local:.:76u-c44nw1v
Oryzias_latipes.5.16326196.16327095,0,1665,2,58.1%,Thu Jul 02 10:27:38 PDT 2020,,Oryzias_latipes.5.16326196.16327095.fas,F:\Temnocora\Exon\assemble_result\nf,837,828,Thu Jul 02 10:27:38 PDT 2020,0,2 KB,urn:local:.:78i-c44nw37
Oryzias_latipes.7.16363160.16363318,0,294,2,53.7%,Thu Jul 02 10:27:41 PDT 2020,,Oryzias_latipes.7.16363160.16363318.fas,F:\Temnocora\Exon\assemble_result\nf,147,147,Thu Jul 02 10:27:41 PDT 2020,0,1 KB,urn:local:.:7fr-c44nw9z
Oryzias_latipes.9.11191251.11191104,0,252,2,47.6%,Thu Jul 02 10:27:42 PDT 2020,,Oryzias_latipes.9.11191251.11191104.fas,F:\Temnocora\Exon\assemble_result\nf,126,126,Thu Jul 02 10:27:42 PDT 2020,0,1 KB,urn:local:.:7kc-c44nwdn
Oryzias_latipes.11.21534604.21534305,0,561,2,64.5%,Thu Jul 02 10:27:26 PDT 2020,,Oryzias_latipes.11.21534604.21534305.fas,F:\Temnocora\Exon\assemble_result\nf,297,264,Thu Jul 02 10:27:26 PDT 2020,0,1 KB,urn:local:.:62l-c44nv44
Oryzias_latipes.12.945833.945550,0,519,2,47.4%,Thu Jul 02 10:27:27 PDT 2020,,Oryzias_latipes.12.945833.945550.fas,F:\Temnocora\Exon\assemble_result\nf,279,240,Thu Jul 02 10:27:27 PDT 2020,0,1 KB,urn:local:.:65r-c44nv6s
Oryzias_latipes.14.11531348.11532671,0,2625,2,57.3%,Thu Jul 02 10:27:27 PDT 2020,,Oryzias_latipes.14.11531348.11532671.fas,F:\Temnocora\Exon\assemble_result\nf,1329,1296,Thu Jul 02 10:27:27 PDT 2020,0,3 KB,urn:local:.:68r-c44nv98
Oryzias_latipes.14.23300992.23300710,0,555,2,64.9%,Thu Jul 02 10:27:28 PDT 2020,,Oryzias_latipes.14.23300992.23300710.fas,F:\Temnocora\Exon\assemble_result\nf,279,276,Thu Jul 02 10:27:28 PDT 2020,0,1 KB,urn:local:.:6a3-c44nvae
Oryzias_latipes.14.24064030.24063867,0,294,2,66.3%,Thu Jul 02 10:27:28 PDT 2020,,Oryzias_latipes.14.24064030.24063867.fas,F:\Temnocora\Exon\assemble_result\nf,162,132,Thu Jul 02 10:27:28 PDT 2020,0,1 KB,urn:local:.:6a6-c44nvag
Oryzias_latipes.15.22799170.22799034,0,258,2,55.4%,Thu Jul 02 10:27:29 PDT 2020,,Oryzias_latipes.15.22799170.22799034.fas,F:\Temnocora\Exon\assemble_result\nf,135,123,Thu Jul 02 10:27:29 PDT 2020,0,1 KB,urn:local:.:6c9-c44nvc5
Oryzias_latipes.15.29399660.29400785,0,2301,2,56.7%,Thu Jul 02 10:27:29 PDT 2020,,Oryzias_latipes.15.29399660.29400785.fas,F:\Temnocora\Exon\assemble_result\nf,1152,1149,Thu Jul 02 10:27:29 PDT 2020,0,3 KB,urn:local:.:6d6-c44nvcv
Oryzias_latipes.17.28758064.28758339,0,501,2,55.5%,Thu Jul 02 10:27:30 PDT 2020,,Oryzias_latipes.17.28758064.28758339.fas,F:\Temnocora\Exon\assemble_result\nf,273,228,Thu Jul 02 10:27:30 PDT 2020,0,1 KB,urn:local:.:6hi-c44nvgf
Oryzias_latipes.18.19140375.19141484,0,2214,2,58.7%,Thu Jul 02 10:27:31 PDT 2020,,Oryzias_latipes.18.19140375.19141484.fas,F:\Temnocora\Exon\assemble_result\nf,1107,1107,Thu Jul 02 10:27:31 PDT 2020,0,3 KB,urn:local:.:6j0-c44nvhq
Oryzias_latipes.22.9536133.9534342,0,3033,2,44.7%,Thu Jul 02 10:27:35 PDT 2020,,Oryzias_latipes.22.9536133.9534342.fas,F:\Temnocora\Exon\assemble_result\nf,1680,1353,Thu Jul 02 10:27:35 PDT 2020,0,4 KB,urn:local:.:6w3-c44nvss
Oryzias_latipes.24.4119112.4118950,0,297,2,56.9%,Thu Jul 02 10:27:36 PDT 2020,,Oryzias_latipes.24.4119112.4118950.fas,F:\Temnocora\Exon\assemble_result\nf,162,135,Thu Jul 02 10:27:36 PDT 2020,0,1 KB,urn:local:.:6zl-c44nvvl
Oryzias_latipes.24.17669356.17671107,0,3492,2,52.2%,Thu Jul 02 10:27:35 PDT 2020,,Oryzias_latipes.24.17669356.17671107.fas,F:\Temnocora\Exon\assemble_result\nf,1752,1740,Thu Jul 02 10:27:35 PDT 2020,0,4 KB,urn:local:.:6y9-c44nvuj
Oryzias_latipes.ultracontig115.4231577.4236646,0,10002,2,52.6%,Thu Jul 02 10:27:44 PDT 2020,,Oryzias_latipes.ultracontig115.4231577.4236646.fas,F:\Temnocora\Exon\assemble_result\nf,5055,4947,Thu Jul 02 10:27:44 PDT 2020,0,11 KB,urn:local:.:7q0-c44nwi8
Oryzias_latipes.ultracontig182.2686045.2685530,0,963,2,62.7%,Thu Jul 02 10:27:44 PDT 2020,,Oryzias_latipes.ultracontig182.2686045.2685530.fas,F:\Temnocora\Exon\assemble_result\nf,510,453,Thu Jul 02 10:27:44 PDT 2020,0,2 KB,urn:local:.:7qc-c44nwii
Oryzias_latipes.ultracontig231.926775.926577,0,324,2,49.1%,Thu Jul 02 10:27:44 PDT 2020,,Oryzias_latipes.ultracontig231.926775.926577.fas,F:\Temnocora\Exon\assemble_result\nf,165,159,Thu Jul 02 10:27:44 PDT 2020,0,1 KB,urn:local:.:7qx-c44nwiy
Tetraodon_nigroviridis.1.10962353.10962153,0,402,2,60.0%,Thu Jul 02 10:27:45 PDT 2020,,Tetraodon_nigroviridis.1.10962353.10962153.fas,F:\Temnocora\Exon\assemble_result\nf,201,201,Thu Jul 02 10:27:45 PDT 2020,0,1 KB,urn:local:.:7t9-c44nwks
Tetraodon_nigroviridis.4.618167.619757,0,3141,2,62.0%,Thu Jul 02 10:27:59 PDT 2020,,Tetraodon_nigroviridis.4.618167.619757.fas,F:\Temnocora\Exon\assemble_result\nf,1581,1560,Thu Jul 02 10:27:59 PDT 2020,0,4 KB,urn:local:.:93f-c44nxnl
Tetraodon_nigroviridis.8.3336950.3337071,0,240,2,48.3%,Thu Jul 02 10:28:01 PDT 2020,,Tetraodon_nigroviridis.8.3336950.3337071.fas,F:\Temnocora\Exon\assemble_result\nf,120,120,Thu Jul 02 10:28:01 PDT 2020,0,1 KB,urn:local:.:9bc-c44nxu5
Tetraodon_nigroviridis.9.10349520.10349050,0,906,2,67.5%,Thu Jul 02 10:28:01 PDT 2020,,Tetraodon_nigroviridis.9.10349520.10349050.fas,F:\Temnocora\Exon\assemble_result\nf,462,444,Thu Jul 02 10:28:01 PDT 2020,0,2 KB,urn:local:.:9d9-c44nxvo
Tetraodon_nigroviridis.14.3282493.3282323,0,318,2,55.0%,Thu Jul 02 10:27:50 PDT 2020,,Tetraodon_nigroviridis.14.3282493.3282323.fas,F:\Temnocora\Exon\assemble_result\nf,171,147,Thu Jul 02 10:27:50 PDT 2020,0,1 KB,urn:local:.:8c9-c44nx0y
Tetraodon_nigroviridis.16.1725946.1726219,0,459,2,66.7%,Thu Jul 02 10:27:52 PDT 2020,,Tetraodon_nigroviridis.16.1725946.1726219.fas,F:\Temnocora\Exon\assemble_result\nf,240,219,Thu Jul 02 10:27:52 PDT 2020,0,1 KB,urn:local:.:8gc-c44nx4m
Tetraodon_nigroviridis.16.6096031.6096688,0,1245,2,49.3%,Thu Jul 02 10:27:52 PDT 2020,,Tetraodon_nigroviridis.16.6096031.6096688.fas,F:\Temnocora\Exon\assemble_result\nf,654,591,Thu Jul 02 10:27:52 PDT 2020,0,2 KB,urn:local:.:8hc-c44nx5e
Tetraodon_nigroviridis.18.1774947.1775094,0,288,2,63.5%,Thu Jul 02 10:27:54 PDT 2020,,Tetraodon_nigroviridis.18.1774947.1775094.fas,F:\Temnocora\Exon\assemble_result\nf,144,144,Thu Jul 02 10:27:54 PDT 2020,0,1 KB,urn:local:.:8mr-c44nxa9
Tetraodon_nigroviridis.Un_random.13347647.13347467,0,354,2,67.2%,Thu Jul 02 10:28:03 PDT 2020,,Tetraodon_nigroviridis.Un_random.13347647.13347467.fas,F:\Temnocora\Exon\assemble_result\nf,177,177,Thu Jul 02 10:28:03 PDT 2020,0,1 KB,urn:local:.:9j0-c44ny19
Tetraodon_nigroviridis.Un_random.92377812.92377580,0,411,2,63.3%,Thu Jul 02 10:28:08 PDT 2020,,Tetraodon_nigroviridis.Un_random.92377812.92377580.fas,F:\Temnocora\Exon\assemble_result\nf,210,201,Thu Jul 02 10:28:08 PDT 2020,0,1 KB,urn:local:.:9w9-c44nyci
Danio_rerio.1.47608707.47608278,0,660,3,66.2%,Thu Jul 02 10:26:13 PDT 2020,,Danio_rerio.1.47608707.47608278.fas,F:\Temnocora\Exon\assemble_result\nf,234,192,Thu Jul 02 10:26:13 PDT 2020,0,2 KB,urn:local:.:3x-c44nphk
Danio_rerio.1.54484479.54484341,0,381,3,59.1%,Thu Jul 02 10:26:13 PDT 2020,,Danio_rerio.1.54484479.54484341.fas,F:\Temnocora\Exon\assemble_result\nf,135,117,Thu Jul 02 10:26:13 PDT 2020,0,1 KB,urn:local:.:4c-c44nphy
Danio_rerio.5.32699399.32699600,0,603,3,57.2%,Thu Jul 02 10:26:46 PDT 2020,,Danio_rerio.5.32699399.32699600.fas,F:\Temnocora\Exon\assemble_result\nf,201,201,Thu Jul 02 10:26:46 PDT 2020,0,1 KB,urn:local:.:2fu-c44ns24
Danio_rerio.6.11333292.11332991,0,834,3,59.5%,Thu Jul 02 10:26:47 PDT 2020,,Danio_rerio.6.11333292.11332991.fas,F:\Temnocora\Exon\assemble_result\nf,297,249,Thu Jul 02 10:26:47 PDT 2020,0,2 KB,urn:local:.:2ji-c44ns57
Danio_rerio.6.28631945.28631810,0,384,3,45.3%,Thu Jul 02 10:26:48 PDT 2020,,Danio_rerio.6.28631945.28631810.fas,F:\Temnocora\Exon\assemble_result\nf,132,126,Thu Jul 02 10:26:48 PDT 2020,0,1 KB,urn:local:.:2l9-c44ns6k
Danio_rerio.10.25152786.25152011,0,954,3,55.5%,Thu Jul 02 10:26:17 PDT 2020,,Danio_rerio.10.25152786.25152011.fas,F:\Temnocora\Exon\assemble_result\nf,318,318,Thu Jul 02 10:26:17 PDT 2020,0,2 KB,urn:local:.:6r-c44nptj
Danio_rerio.13.19367795.19368185,0,1164,3,59.5%,Thu Jul 02 10:26:25 PDT 2020,,Danio_rerio.13.19367795.19368185.fas,F:\Temnocora\Exon\assemble_result\nf,390,384,Thu Jul 02 10:26:25 PDT 2020,0,2 KB,urn:local:.:jo-c44nqez
Danio_rerio.14.19578453.19577740,0,2205,3,57.7%,Thu Jul 02 10:26:27 PDT 2020,,Danio_rerio.14.19578453.19577740.fas,F:\Temnocora\Exon\assemble_result\nf,735,735,Thu Jul 02 10:26:27 PDT 2020,0,3 KB,urn:local:.:q0-c44nqkf
Danio_rerio.16.34333434.34333590,0,456,3,49.6%,Thu Jul 02 10:26:30 PDT 2020,,Danio_rerio.16.34333434.34333590.fas,F:\Temnocora\Exon\assemble_result\nf,156,144,Thu Jul 02 10:26:30 PDT 2020,0,1 KB,urn:local:.:10c-c44nqtm
Danio_rerio.17.17898568.17899020,0,807,3,57.6%,Thu Jul 02 10:26:31 PDT 2020,,Danio_rerio.17.17898568.17899020.fas,F:\Temnocora\Exon\assemble_result\nf,279,258,Thu Jul 02 10:26:31 PDT 2020,0,2 KB,urn:local:.:13u-c44nqwi
Danio_rerio.19.12495884.12496084,0,471,3,54.1%,Thu Jul 02 10:26:34 PDT 2020,,Danio_rerio.19.12495884.12496084.fas,F:\Temnocora\Exon\assemble_result\nf,177,144,Thu Jul 02 10:26:34 PDT 2020,0,1 KB,urn:local:.:1do-c44nr4r
Danio_rerio.19.43980763.43980617,0,426,3,58.5%,Thu Jul 02 10:26:35 PDT 2020,,Danio_rerio.19.43980763.43980617.fas,F:\Temnocora\Exon\assemble_result\nf,144,138,Thu Jul 02 10:26:35 PDT 2020,0,1 KB,urn:local:.:1g6-c44nr6q
Danio_rerio.21.29152691.29152541,0,393,3,62.6%,Thu Jul 02 10:26:38 PDT 2020,,Danio_rerio.21.29152691.29152541.fas,F:\Temnocora\Exon\assemble_result\nf,132,129,Thu Jul 02 10:26:38 PDT 2020,0,1 KB,urn:local:.:1r9-c44nrfm
Danio_rerio.23.7630505.7630649,0,432,3,50.0%,Thu Jul 02 10:26:41 PDT 2020,,Danio_rerio.23.7630505.7630649.fas,F:\Temnocora\Exon\assemble_result\nf,147,141,Thu Jul 02 10:26:41 PDT 2020,0,1 KB,urn:local:.:210-c44nro1
Danio_rerio.Zv9_NA395.34631.33864,0,831,3,59.1%,Thu Jul 02 10:26:53 PDT 2020,,Danio_rerio.Zv9_NA395.34631.33864.fas,F:\Temnocora\Exon\assemble_result\nf,294,267,Thu Jul 02 10:26:53 PDT 2020,0,2 KB,urn:local:.:340-c44nsm2
